Transaction Date,Opening Price,High Price,Low Price,Close Price,Turnover Volume,Turnover Amount
2019/1/2,3.75,3.8,3.73,3.76,7385675,27770014
2019/1/3,3.76,4.14,3.72,3.94,33846475,135627968
2019/1/4,3.84,4,3.8,3.98,27957054,109496376
2019/1/7,3.99,4.07,3.92,4.05,25700917,103257416
2019/1/8,4.04,4.46,3.98,4.27,56678844,242614176
2019/1/9,4.24,4.36,4.16,4.18,39931296,170208784
2019/1/10,4.12,4.21,4.11,4.14,21818792,90564944
2019/1/11,4.13,4.17,4.09,4.13,15243953,62862520
2019/1/14,4.14,4.45,4.12,4.31,46110961,197721472
2019/1/15,4.27,4.36,4.24,4.34,29099424,125331136
2019/1/16,4.32,4.67,4.29,4.48,58411670,260167456
2019/1/17,4.42,4.53,4.35,4.41,31099432,137293632
2019/1/18,4.38,4.41,4.28,4.3,23437705,101591568
2019/1/21,4.29,4.45,4.26,4.34,25137353,109311336
2019/1/22,4.28,4.32,4.13,4.2,23875896,100719904
2019/1/23,4.2,4.43,4.16,4.4,44061643,190933824
2019/1/24,4.36,4.43,4.31,4.33,24202533,105466560
2019/1/25,4.33,4.48,4.22,4.38,38382909,168013888
2019/1/28,4.4,4.41,4.22,4.24,23776706,102231672
2019/1/29,4.19,4.22,3.83,3.97,34469020,138326576
2019/1/30,3.92,4,3.81,3.82,27158408,105590312
2019/1/31,3.44,3.44,3.44,3.44,8003100,27530664
2019/2/1,3.1,3.33,3.1,3.25,53540831,171557360
2019/2/11,3.25,3.34,3.17,3.34,28632387,93901352
2019/2/12,3.34,3.51,3.3,3.46,28260812,97062176
2019/2/13,3.45,3.52,3.42,3.49,24885305,86368192
2019/2/14,3.47,3.54,3.43,3.51,24371830,84920656
2019/2/15,3.52,3.68,3.5,3.54,31729552,113485456
2019/2/18,3.54,3.68,3.54,3.67,30105620,109078424
2019/2/19,3.73,3.88,3.67,3.82,57083120,214745488
2019/2/20,3.8,3.89,3.71,3.78,37437696,141845536
2019/2/21,3.75,3.85,3.69,3.72,42440957,160362752
2019/2/22,3.69,3.79,3.67,3.75,37489749,140353056
2019/2/25,3.94,4.02,3.77,3.98,64998561,253743792
2019/2/26,4.01,4.18,3.9,4.05,68650064,276897728
2019/2/27,4,4.25,3.96,4.22,73886707,304613856
2019/2/28,4.22,4.22,4.02,4.1,50519943,208316000
2019/3/1,4.09,4.12,3.96,4.01,38824502,155957632
2019/3/4,4.03,4.2,4.03,4.14,54378360,225013920
2019/3/5,4.15,4.28,4.12,4.25,56887975,238252816
2019/3/6,4.3,4.54,4.17,4.49,79588024,344807136
2019/3/7,4.45,4.6,4.37,4.52,69571801,313043328
2019/3/8,4.41,4.51,4.09,4.14,63706218,276821824
2019/3/11,4.23,4.5,4.19,4.48,58993752,257581984
2019/3/12,4.51,4.63,4.36,4.54,66821333,301252960
2019/3/13,4.54,4.96,4.42,4.59,80293606,374739168
2019/3/14,4.51,4.59,4.19,4.34,52481525,228766560
2019/3/15,4.33,4.55,4.33,4.45,41134988,182422672
2019/3/18,4.49,4.54,4.35,4.49,38485660,169785280
2019/3/19,4.45,4.48,4.36,4.41,35203990,155188768
2019/3/20,4.41,4.64,4.32,4.5,55246700,246545424
2019/3/21,4.51,4.57,4.44,4.47,44200139,198957600
2019/3/22,4.43,4.45,4.3,4.41,37065573,161895168
2019/3/25,4.31,4.44,4.3,4.33,28396868,124065104
2019/3/26,4.33,4.37,4.1,4.13,29514190,124506512
2019/3/27,4.15,4.17,4.03,4.07,20719519,84741184
2019/3/28,4.07,4.1,3.97,4,18424520,74308776
2019/3/29,4.04,4.13,3.95,4.12,21918386,88918320
2019/4/1,4.21,4.42,4.18,4.42,35675224,153564864
2019/4/2,4.44,4.6,4.37,4.45,45657738,204510176
2019/4/3,4.42,4.66,4.38,4.64,56954464,260364928
